feature,importance
EXT_SOURCE_3,8.769960405682967
EXT_SOURCE_2,7.133874961398524
EXT_SOURCE_1,3.924689828029893
DAYS_BIRTH,3.1920801579585474
AMT_CREDIT,2.676793321402381
AMT_ANNUITY,2.3978712772391853
AMT_GOODS_PRICE,2.1991527582534984
BUREAU_DEBT_CREDIT_RATIO_MEAN,1.8378253480827353
DAYS_EMPLOYED,1.721037517744334
POS_CNT_INSTALMENT_FUTURE_MEAN,1.3305366038271345
DAYS_ID_PUBLISH,1.2144218888665759
CODE_GENDER,1.192432705619907
NAME_EDUCATION_TYPE,1.0893404793142152
BUREAU_DAYS_CREDIT_MAX,1.0845983895978724
BUREAU_AMT_CREDIT_SUM_MEAN,1.0832432230721378
PREV_PREV_CREDIT_GOODS_RATIO_MEAN,0.9626760902626026
ORGANIZATION_TYPE,0.9539579455866788
REGION_POPULATION_RELATIVE,0.9500521591280595
DAYS_REGISTRATION,0.9226828568103762
INS_LATE_RATIO,0.8706743320775688
INS_NUM_INSTALMENT_NUMBER_MAX,0.8572889400349879
DAYS_LAST_PHONE_CHANGE,0.8571731959825206
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,0.8268982637730351
INS_EARLY_COUNT,0.7805613244230601
INS_DAYS_ENTRY_PAYMENT_MAX,0.7784755570033511
INS_AMT_PAYMENT_SUM,0.7572663198479302
AMT_INCOME_TOTAL,0.7411055707838824
PREV_REFUSAL_RATE,0.735473084443434
OWN_CAR_AGE,0.7239723835091864
OCCUPATION_TYPE,0.7022283218054761
PREV_PREV_APP_CREDIT_DIFF_MAX,0.6840123203877994
BUREAU_AMT_CREDIT_SUM_SUM,0.6234540438507271
NAME_FAMILY_STATUS,0.6063658326454969
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,0.5964443194065513
NAME_INCOME_TYPE,0.5882817542850889
POS_CNT_INSTALMENT_MAX,0.5723063093093345
INS_DPD_MEAN,0.5620392669347651
PREV_PREV_DAYS_DECISION_ABS_MIN,0.5522354556401724
INS_DAYS_INSTALMENT_MIN,0.5421567216189416
INS_AMT_INSTALMENT_SUM,0.5421059451589146
PREV_AMT_ANNUITY_MEAN,0.5320269344542035
INS_PAYMENT_DIFF_MIN,0.5204782211058417
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,0.4920204807015482
NAME_CONTRACT_TYPE,0.4887541266858267
PREV_DAYS_DECISION_MAX,0.47986333435067374
POS_MONTHS_BALANCE_MAX,0.4749906688403458
PREV_CNT_PAYMENT_MEAN,0.4715032522861474
INS_DBD_MAX,0.4637683433461527
CC_BALANCE_LIMIT_RATIO_MAX,0.4630226807548598
BUREAU_DAYS_CREDIT_MEAN,0.46051082833911144
PREV_PREV_ANNUITY_CREDIT_RATIO_MEAN,0.45604583903396667
POS_MONTHS_BALANCE_MIN,0.4505205349149131
PREV_PREV_APPROVED_AMT_ANNUITY_MEAN,0.44824623682171705
BUREAU_CREDIT_ACTIVE_IS_ACTIVE_SUM,0.44253362682206915
INS_DBD_SUM,0.43323585096423045
INS_DAYS_INSTALMENT_MAX,0.43013044971346137
REGION_RATING_CLIENT_W_CITY,0.42646375841352474
POS_CNT_INSTALMENT_FUTURE_MAX,0.4252148767579624
PREV_AMT_DOWN_PAYMENT_MAX,0.42455225690346776
FLAG_DOCUMENT_3,0.4242278175864958
POS_STATUS_ACTIVE_RATIO,0.41425316251911815
INS_EARLY_RATIO,0.4006083195996659
PREV_DAYS_DECISION_MEAN,0.3980775476702596
FLAG_OWN_CAR,0.3975413799139237
POS_STATUS_COMPLETED_RATIO,0.39648197897323534
INS_UNDERPAID_RATIO,0.39587358344068696
POS_STATUS_ACTIVE_COUNT,0.39440036661735095
PREV_CNT_PAYMENT_MAX,0.39275045552626286
HOUR_APPR_PROCESS_START,0.3913247823591338
INS_DAYS_ENTRY_PAYMENT_MIN,0.38657311991598153
INS_DBD_MEAN,0.3854669884788789
FLAG_DOCUMENT_18,0.3824197793811833
FLAG_WORK_PHONE,0.38225972643893347
AMT_REQ_CREDIT_BUREAU_QRT,0.37558487091731174
BUREAU_BB_STATUS_0_MEAN_MEAN,0.36630387707582246
PREV_PREV_APPROVED_AMT_ANNUITY_MAX,0.35832867196014295
CC_PAYMENT_MIN_RATIO_MEAN,0.3569887080534441
BUREAU_CLOSED_RATIO,0.34359945608130127
PREV_AMT_DOWN_PAYMENT_MEAN,0.3414534430883417
INS_OVERPAID_COUNT,0.33922257218349394
POS_MONTHS_BALANCE_SIZE,0.3321304199577583
CC_MONTHS_BALANCE_MIN,0.32905081897884114
PREV_PREV_APP_CREDIT_DIFF_MEAN,0.32405392305079717
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,0.3236814501017974
PREV_PREV_APP_CREDIT_RATIO_MAX,0.3219825836516534
PREV_CANCEL_RATE,0.3193876127058226
PREV_AMT_ANNUITY_MAX,0.3121898754557503
INS_AMT_PAYMENT_MEAN,0.2979733937813859
DEF_30_CNT_SOCIAL_CIRCLE,0.2925444214128337
FLAG_DOCUMENT_16,0.2920771457299654
WEEKDAY_APPR_PROCESS_START,0.28985966672114555
BUREAU_DAYS_CREDIT_UPDATE_MEAN,0.28801310143701236
BUREAU_SK_ID_BUREAU_COUNT,0.28794692976913283
BUREAU_BB_STATUS_0_SUM_SUM,0.28530500628580036
PREV_PREV_APP_CREDIT_RATIO_MEAN,0.28437431306249655
PREV_PREV_APPROVED_AMT_CREDIT_MAX,0.2692006776080731
INS_PAYMENT_RATIO_MIN,0.2645034238731737
BUREAU_BB_STATUS_C_SUM_SUM,0.2639185652483921
BUREAU_HAS_DEBT_SUM,0.2568843198568316
INS_AMT_INSTALMENT_MEAN,0.2563655865807186
BUREAU_BB_STATUS_C_MEAN_MEAN,0.2555187731276468
POS_RECORD_COUNT,0.25454073873496946
PREV_APPROVAL_RATE,0.24581724247844602
BUREAU_CREDIT_ACTIVE_IS_CLOSED_SUM,0.23947370572391002
BUREAU_BB_MONTHS_COUNT_MEAN,0.2370776503682809
INS_OVERPAID_RATIO,0.23707248251843938
INS_DPD_MAX,0.23684630358815134
INS_PAYMENT_DIFF_SUM,0.23626905144290045
INS_PAYMENT_DIFF_MEAN,0.23540006770934396
INS_TOTAL_PAYMENT_TO_INSTALMENT_RATIO,0.23081958900671248
CC_CNT_DRAWINGS_CURRENT_MAX,0.22348524090969102
PREV_RATE_DOWN_PAYMENT_MAX,0.22228983463337793
BUREAU_ACTIVE_RATIO,0.22198753431421223
PREV_PREV_DAYS_DECISION_ABS_MEAN,0.21789150459871154
BUREAU_BB_STATUS_1_MEAN_MEAN,0.20885743944854368
CC_CNT_DRAWINGS_CURRENT_MEAN,0.2085828311883496
PREV_AMT_CREDIT_MAX,0.20610815587218992
DEF_60_CNT_SOCIAL_CIRCLE,0.205756361651693
PREV_PREV_APPROVED_AMT_CREDIT_MEAN,0.20189694861274746
INS_PAYMENT_RATIO_MEAN,0.19827444339255124
PREV_PREV_IS_REFUSED_SUM,0.1974733532068033
INS_RECORD_COUNT,0.18871404561879718
REG_CITY_NOT_LIVE_CITY,0.18672279974093114
PREV_PREV_APPROVED_APP_CREDIT_RATIO_MEAN,0.18157838322099967
PREV_AMT_CREDIT_MEAN,0.180206887286091
POS_CNT_INSTALMENT_MEAN,0.17885739415599006
APARTMENTS_AVG,0.17878217597219093
BUREAU_BB_STATUS_X_SUM_SUM,0.17877670954836586
CC_DRAWINGS_LIMIT_RATIO_MEAN,0.17520550475281266
POS_SK_DPD_DEF_MEAN,0.1723123891078427
TOTALAREA_MODE,0.17103903554520564
INS_LATE_COUNT,0.17085406809998585
FLAG_DOCUMENT_13,0.17061693303035902
PREV_AMT_APPLICATION_MAX,0.17056934259377457
APARTMENTS_MODE,0.16343452323975752
YEARS_BEGINEXPLUATATION_MEDI,0.16202539044614864
CC_AMT_BALANCE_MAX,0.161910009999804
NONLIVINGAREA_AVG,0.16074134291174105
PREV_PREV_DOWNPAYMENT_CREDIT_RATIO_MEAN,0.1582258793720272
INS_DPD_SUM,0.15800265294343202
CC_BALANCE_LIMIT_RATIO_MEAN,0.1569559934288211
POS_DPD_COUNT,0.156390375094385
POS_STATUS_SIGNED_RATIO,0.1560699784046271
OBS_60_CNT_SOCIAL_CIRCLE,0.15483620897765646
REGION_RATING_CLIENT,0.15345183322719463
PREV_AMT_GOODS_PRICE_MEAN,0.15205257384102178
BUREAU_BB_STATUS_X_MEAN_MEAN,0.1515054253426803
PREV_RATE_DOWN_PAYMENT_MEAN,0.15138559911202817
PREV_AMT_APPLICATION_MEAN,0.14678889497105022
BUREAU_BB_MONTHS_COUNT_MAX,0.14649348137030418
NAME_HOUSING_TYPE,0.14205366305220737
PREV_PREV_IS_APPROVED_SUM,0.1402562029025347
FLAG_PHONE,0.14023911891302376
PREV_AMT_GOODS_PRICE_MAX,0.13968472156323536
POS_SK_ID_PREV_NUNIQUE,0.13759227385811368
LIVINGAREA_AVG,0.1357828358497566
POS_DPD_DEF_RATIO,0.13479370195526408
NONLIVINGAREA_MODE,0.1345629044427201
NONLIVINGAREA_MEDI,0.13423839507726196
AMT_REQ_CREDIT_BUREAU_MON,0.1327874097664882
FLOORSMAX_AVG,0.12632077724044635
LIVINGAREA_MEDI,0.12476131052716855
INS_NUM_INSTALMENT_VERSION_NUNIQUE,0.12345250667013237
YEARS_BEGINEXPLUATATION_MODE,0.12309185214751261
APARTMENTS_MEDI,0.11932444595769057
POS_DPD_RATIO,0.11907519897962737
YEARS_BEGINEXPLUATATION_AVG,0.1175144621382811
LANDAREA_AVG,0.11630095218089447
BASEMENTAREA_MODE,0.11523921237807484
LIVINGAREA_MODE,0.11319826351043909
CC_STATUS_COMPLETED_RATIO,0.11112141900450649
CC_CNT_INSTALMENT_MATURE_CUM_MEAN,0.11020124154839908
INS_PAYMENT_DIFF_MAX,0.11002587676679294
FLOORSMAX_MEDI,0.10728091049068136
POS_SK_DPD_DEF_MAX,0.10699662684362336
LANDAREA_MODE,0.10682567452183378
CC_TOTAL_PAYMENT_BALANCE_RATIO_MAX,0.10598813310342184
CC_PAYMENT_MIN_RATIO_MAX,0.10474798976610697
BASEMENTAREA_MEDI,0.10311561098214442
CC_STATUS_ACTIVE_COUNT,0.10124274492003545
INS_UNDERPAID_COUNT,0.10045001851736535
AMT_REQ_CREDIT_BUREAU_YEAR,0.09678726077529254
YEARS_BUILD_MODE,0.09416716224565942
NONLIVINGAPARTMENTS_MODE,0.08820218822168899
LIVINGAPARTMENTS_AVG,0.08709748245300394
WALLSMATERIAL_MODE,0.08688472941426013
CC_PAYMENT_LESS_THAN_MIN_COUNT,0.08517978139266236
CC_AMT_PAYMENT_CURRENT_SUM,0.08505921685665278
COMMONAREA_MEDI,0.08503533719641129
CC_CNT_DRAWINGS_POS_CURRENT_MEAN,0.08224334665051163
INS_SK_ID_PREV_NUNIQUE,0.08089767956266027
CC_AMT_DRAWINGS_CURRENT_MEAN,0.08015520172598749
POS_SK_DPD_MEAN,0.07975931629964267
PREV_SK_ID_PREV_COUNT,0.07892129324720454
POS_STATUS_COMPLETED_COUNT,0.07871698966086353
YEARS_BUILD_AVG,0.07716670155666586
ENTRANCES_MODE,0.07685695835190816
ELEVATORS_AVG,0.07647812772772009
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,0.07517840582448057
FLAG_DOCUMENT_11,0.07513760428557073
INS_PAYMENT_RATIO_MAX,0.07290473541014245
CC_RECORD_COUNT,0.07190755542830818
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,0.07186639825089014
AMT_REQ_CREDIT_BUREAU_WEEK,0.07118785499868756
CC_BALANCE_POSITIVE_RATIO,0.07109316942475485
ENTRANCES_AVG,0.0665207960015219
COMMONAREA_AVG,0.06529797556155123
BUREAU_BB_STATUS_1_SUM_SUM,0.06528560213243442
CC_AMT_PAYMENT_CURRENT_MEAN,0.06512564378328711
COMMONAREA_MODE,0.06504379489172984
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,0.06499862182906162
FLAG_EMP_PHONE,0.061783541904194425
CC_AMT_DRAWINGS_CURRENT_SUM,0.06158967085720759
CC_AMT_INST_MIN_REGULARITY_MEAN,0.061510117568859254
CNT_FAM_MEMBERS,0.060608832651689225
CC_DRAWINGS_LIMIT_RATIO_MAX,0.05929471511810509
OBS_30_CNT_SOCIAL_CIRCLE,0.058909444474665305
LIVINGAPARTMENTS_MODE,0.057090705922761
CC_CNT_INSTALMENT_MATURE_CUM_MAX,0.05508143562630853
CC_AMT_BALANCE_MEAN,0.05380431893781573
BASEMENTAREA_AVG,0.05336423289611443
NONLIVINGAPARTMENTS_AVG,0.053270732075238116
NAME_TYPE_SUITE,0.0530776099748439
ELEVATORS_MODE,0.052354544397619295
POS_SK_DPD_MAX,0.05132291981091135
ENTRANCES_MEDI,0.05124677642698254
CC_AMT_INST_MIN_REGULARITY_MAX,0.050470482567450806
YEARS_BUILD_MEDI,0.05023940188915047
LIVINGAPARTMENTS_MEDI,0.050215152032417554
AMT_REQ_CREDIT_BUREAU_DAY,0.049120212298111324
CC_AMT_BALANCE_SUM,0.04862161860248755
FLOORSMIN_AVG,0.047500500537092635
CC_BALANCE_POSITIVE_COUNT,0.04726403231181718
CC_SK_DPD_DEF_MEAN,0.045151852397927045
CC_STATUS_SIGNED_RATIO,0.04479356600647
CC_AMT_PAYMENT_CURRENT_MAX,0.04389517103486052
NONLIVINGAPARTMENTS_MEDI,0.04279156864716185
FLAG_DOCUMENT_14,0.04274929988693681
CC_STATUS_COMPLETED_COUNT,0.042380380539290025
POS_STATUS_SIGNED_COUNT,0.04207317638985862
CNT_CHILDREN,0.04197409575066953
LANDAREA_MEDI,0.04130718431876372
CC_MONTHS_BALANCE_SIZE,0.04091765223319386
BUREAU_BB_STATUS_2_MEAN_MEAN,0.03968875904799002
HOUSETYPE_MODE,0.03884407494134909
FLOORSMIN_MODE,0.03836720406101431
FLOORSMAX_MODE,0.03769437946755318
CC_PAYMENT_LESS_THAN_MIN_RATIO,0.035632482921306864
CC_DPD_COUNT,0.03362147747245474
FLAG_DOCUMENT_15,0.03335335948381994
PREV_PREV_IS_CANCELED_SUM,0.03277155632421698
CC_AMT_DRAWINGS_CURRENT_MAX,0.032123173989865784
EMERGENCYSTATE_MODE,0.03196367114834263
CC_STATUS_ACTIVE_RATIO,0.031592448776009335
CC_TOTAL_PAYMENT_BALANCE_RATIO_MEAN,0.030751623135609148
FONDKAPREMONT_MODE,0.028016800084874238
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,0.02781714604195209
FLAG_OWN_REALTY,0.02754547292557282
CC_DPD_DEF_COUNT,0.027057913922414783
BUREAU_OVERDUE_DEBT_RATIO_MEAN,0.025324208966310612
ELEVATORS_MEDI,0.02531470359702077
BUREAU_BB_STATUS_5_MEAN_MEAN,0.024702813911835864
FLAG_DOCUMENT_6,0.02297683594721242
BUREAU_HAS_OVERDUE_SUM,0.022809826235082886
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,0.02149667738863214
BUREAU_BB_STATUS_4_MEAN_MEAN,0.019225178175067456
REG_REGION_NOT_LIVE_REGION,0.01804424856157475
BUREAU_BB_STATUS_2_SUM_SUM,0.017274388764339708
CC_SK_ID_PREV_NUNIQUE,0.016673236925994636
POS_DPD_DEF_COUNT,0.016512226477080554
FLOORSMIN_MEDI,0.016501295165576878
PREV_PREV_IS_UNUSED_OFFER_SUM,0.015199414937574512
CC_MONTHS_BALANCE_MAX,0.01407803309829737
FLAG_EMAIL,0.013317764498900448
CC_DPD_DEF_RATIO,0.01262867235638836
BUREAU_BB_STATUS_4_SUM_SUM,0.011699549518094548
CC_SK_DPD_MEAN,0.011236352277847974
BUREAU_OVERDUE_RATIO,0.010539753732068712
AMT_REQ_CREDIT_BUREAU_HOUR,0.01018716805999886
CC_SK_DPD_MAX,0.009272355820626648
BUREAU_BB_STATUS_3_MEAN_MEAN,0.008999427902552998
CC_DPD_RATIO,0.008910226362932877
FLAG_DOCUMENT_5,0.008067791184238912
FLAG_DOCUMENT_9,0.007703591784349925
LIVE_CITY_NOT_WORK_CITY,0.007018645891814707
CC_SK_DPD_DEF_MAX,0.006473799639349127
FLAG_DOCUMENT_8,0.00636130280046934
LIVE_REGION_NOT_WORK_REGION,0.006198658969845578
REG_REGION_NOT_WORK_REGION,0.005573817342009162
REG_CITY_NOT_WORK_CITY,0.005285893067409566
BUREAU_BB_STATUS_3_SUM_SUM,0.004480951087285528
CC_STATUS_DEMAND_COUNT,0.004254749124725232
POS_STATUS_DEMAND_COUNT,0.0034138575316921124
POS_STATUS_DEMAND_RATIO,0.0028839339734450875
BUREAU_BB_STATUS_5_SUM_SUM,0.002502065059597843
CC_STATUS_SIGNED_COUNT,0.0020582983505651885
FLAG_MOBIL,0.0
CC_STATUS_DEMAND_RATIO,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_7,0.0
FLAG_CONT_MOBILE,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
